epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,255.087,1.66469,1.18789,1.66197,0.71022,0.60855,0.66342,0.25435,2.19743,1.39725,2.13192,0.000665521,0.000665521,0.000665521
2,497.983,1.72156,1.2568,1.69793,0.7032,0.58487,0.64088,0.24473,2.18997,1.43368,2.09204,0.00126624,0.00126624,0.00126624
3,747.802,1.77426,1.32744,1.76874,0.65978,0.62367,0.63146,0.23566,2.19694,1.47186,2.16087,0.00180097,0.00180097,0.00180097
4,988.588,1.77922,1.32928,1.76672,0.70329,0.58002,0.62708,0.23404,2.16399,1.49296,2.11501,0.001703,0.001703,0.001703
5,1253.51,1.75863,1.31987,1.74802,0.72925,0.60427,0.66732,0.2531,2.11661,1.41678,2.04662,0.001604,0.001604,0.001604
6,1493.59,1.75483,1.28952,1.74377,0.68971,0.60136,0.6436,0.2402,2.1909,1.4573,2.16606,0.001505,0.001505,0.001505
7,1754.37,1.73771,1.26215,1.72005,0.73194,0.60118,0.65312,0.24706,2.14648,1.44742,2.05567,0.001406,0.001406,0.001406
8,1994.79,1.72025,1.22926,1.71136,0.72278,0.60912,0.6691,0.2471,2.20921,1.38652,2.14003,0.001307,0.001307,0.001307
9,2256.55,1.69967,1.22425,1.69239,0.67669,0.59942,0.62009,0.23727,2.16592,1.42937,2.09592,0.001208,0.001208,0.001208
10,2494.22,1.6878,1.19905,1.67836,0.69658,0.59942,0.63779,0.24379,2.16406,1.422,2.09533,0.001109,0.001109,0.001109
11,2774.69,1.70116,1.0479,1.71926,0.7058,0.63525,0.65923,0.2547,2.17855,1.36143,2.10322,0.00101,0.00101,0.00101
12,3010.7,1.66332,0.9986,1.69907,0.71591,0.6421,0.67651,0.25578,2.18779,1.3316,2.09962,0.000911,0.000911,0.000911
13,3269.58,1.63566,0.96615,1.67369,0.7189,0.63046,0.67306,0.255,2.19637,1.36683,2.15003,0.000812,0.000812,0.000812
14,3506.33,1.60246,0.92093,1.65475,0.74523,0.63628,0.67763,0.25144,2.23163,1.33298,2.1854,0.000713,0.000713,0.000713
15,3762.91,1.58353,0.89077,1.63735,0.69784,0.64016,0.66317,0.25021,2.23874,1.33197,2.18872,0.000614,0.000614,0.000614
16,3999.36,1.55798,0.85898,1.61285,0.72921,0.61979,0.66452,0.24946,2.2245,1.34309,2.15853,0.000515,0.000515,0.000515
17,4255.67,1.52873,0.83144,1.59621,0.70643,0.65352,0.67504,0.25137,2.25988,1.29605,2.21723,0.000416,0.000416,0.000416
18,4492.49,1.49666,0.80288,1.56893,0.71456,0.63857,0.66869,0.24694,2.28579,1.29359,2.24106,0.000317,0.000317,0.000317
19,4755.45,1.47493,0.77907,1.55423,0.72371,0.62949,0.66073,0.24326,2.28045,1.31824,2.23563,0.000218,0.000218,0.000218
20,4994.54,1.44698,0.75355,1.53287,0.70568,0.6547,0.66036,0.24464,2.31842,1.28508,2.2832,0.000119,0.000119,0.000119
